Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
20,0.0923,0.1,0.05,0.0941994827002861,0.287982903363637,0.53,0.00131,1.45,-3539.28799288061
60,0.0923,0.1,0.05,0.0941492935996971,0.287712670610997,0.529454953614592,0.00131,1.45,-8890.0579000548
240,0.0923,0.1,0.05,0.0939615437259888,0.286701770543359,0.527416017096011,0.00131,1.45,-6881.94240404434
480,0.0923,0.1,0.05,0.0935138886786472,0.284291465232907,0.522554547920432,0.00131,1.45,-5572.47356075004
1200,0.0923,0.1,0.05,0.0924853411555933,0.278753465445813,0.511384670335808,0.00131,1.45,-5306.78859790816
3000,0.0923,0.1,0.05,0.0900091346952519,0.265420847805109,0.484493425725016,0.00131,1.45,-7486.78927383342
5000,0.0923,0.1,0.05,0.0856470538221344,0.241934132407764,0.437121857299786,0.00131,1.45,-8715.30903112867
12000,0.0923,0.1,0.05,0.0777419980795154,0.19937100718667,0.35127409337488,0.00131,1.45,-3615.30903112867
28000,0.0923,0.1,0.05,0.0647331609000954,0.129327634454546,0.21,0.00131,1.45,8384.69096887133
